question_ID,question
F01,Wie ist deine Verbindung zum Leipziger Osten?
F02,Was ist dein Lieblingsort im öffentlichen Raum im Projektgebiet
F03,Wo hälst du dich im öffentlichen Raum im Projektgebiet nicht gerne auf?
F04,Wie bewegst du dich im Projektgebiet fort?
F05,Fühlst du dich auf deinen Verkehrswegen im Projektgebiet sicher?
F06,Ist Begrünung im Straßenraum wichtig für dich?
F07,Wo kann Begrünung in deiner Nachbarschaft stattfinden?
F08,Wofür wünschst du dir mehr Platz im öffentlichen Raum?
F09,Haben sich deine Wünsche an den öffentlichen Raum durch Corona verändert?
F10,Hast du Lust den Straßenraum in deiner Nachbarschaft mitzugestalten?
F11,Hast du Lust bei Aktionen des SUPERBLOCKS e.V. mitzuhelfen?
F12,Wie möchtest du dich beteiligen?
F13,Wohnst du im Projektgebiet?
F14,"Wenn ja, in welcher Straße wohnst du?"
F15,"Wenn nein, in welchem Stadtteil wohnst du?"
F16,eMail für Kontaktaufnahme
F17,Wie alt bist du?
F18,"Bist du mit Rollstuhl, Rollator oder Kinderwagen unterwegs?"
